,bp_len_k1,bp_len_k2,bp_len_k3,bp_len_k4,bp_len_k5,bp_len_k6,bp_len_k7,bp_len_k8,bp_len_k9,st_len_k1,st_len_k2,st_len_k3,st_len_k4,st_len_k5,st_len_k6,st_len_k7,st_len_k8,st_len_k9,total_acc_k1_p1,total_acc_k1_p3,total_acc_k2_p1,total_acc_k2_p3,total_acc_k3_p1,total_acc_k3_p3,total_acc_k4_p1,total_acc_k4_p3,total_acc_k5_p1,total_acc_k5_p3,total_acc_k6_p1,total_acc_k6_p3,total_acc_k7_p1,total_acc_k7_p3,total_acc_k8_p1,total_acc_k8_p3,total_acc_k9_p1,total_acc_k9_p3,light_acc_k1_p1,light_acc_k1_p3,light_acc_k2_p1,light_acc_k2_p3,light_acc_k3_p1,light_acc_k3_p3,light_acc_k4_p1,light_acc_k4_p3,light_acc_k5_p1,light_acc_k5_p3,light_acc_k6_p1,light_acc_k6_p3,light_acc_k7_p1,light_acc_k7_p3,light_acc_k8_p1,light_acc_k8_p3,light_acc_k9_p1,light_acc_k9_p3,severe_acc_k1_p1,severe_acc_k2_p1,severe_acc_k3_p1,severe_acc_k4_p1,severe_acc_k5_p1,severe_acc_k6_p1,severe_acc_k7_p1,severe_acc_k8_p1,severe_acc_k9_p1,killed_acc_k1_p1,killed_acc_k2_p1,killed_acc_k3_p1,killed_acc_k4_p1,killed_acc_k5_p1,killed_acc_k6_p1,killed_acc_k7_p1,killed_acc_k8_p1,killed_acc_k9_p1
2013,139484.27000000002,1283810.4999999998,3313303.25,5759285.02,9564729.469999999,14121585.060000002,17851489.610000003,23230983.370000005,28696548.84000001,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,96,508,61,276,163,410,145,467,253,533,109,408,176,483,211,446,176,722,86,508,55,276,144,410,126,467,221,533,93,408,147,483,191,446,154,722,10,6,18,18,30,14,27,17,20,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0
2014,187326.67,1448361.7899999998,3313303.25,6055593.72,9903563.839999998,14482381.700000003,18241168.730000004,23668867.530000005,29225193.59000001,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,72,433,70,273,139,371,123,432,184,442,116,346,204,480,147,467,184,701,59,433,63,273,109,371,107,432,162,442,100,346,179,480,122,467,159,701,13,6,29,16,22,15,24,21,23,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0
2015,238303.92,1448361.7899999998,3313303.25,6055593.72,10242567.889999999,14843280.170000004,18632271.930000003,24107308.630000006,29754076.04000001,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,101,461,85,268,167,325,128,425,215,452,147,360,269,445,220,454,205,673,93,461,72,268,144,325,112,425,192,452,132,360,237,445,187,454,171,673,8,11,21,15,22,15,30,33,32,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0
2016,289780.09,1448361.7899999998,3313303.25,6355965.72,10242567.889999999,15204417.000000004,19023687.860000003,24546527.610000007,30283576.32000001,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,84,413,75,257,152,376,121,416,194,462,117,366,209,463,185,433,174,613,70,413,63,257,130,376,102,416,170,462,94,366,174,463,155,433,142,613,14,12,21,19,23,23,31,29,31,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0
2017,345937.03,1448361.7899999998,3313303.25,6656641.37,10581670.02,15204417.000000004,19023687.860000003,24986094.070000008,30813414.080000013,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,123,380,75,184,171,307,136,333,208,383,112,315,230,411,208,382,209,537,98,380,64,184,154,307,119,333,175,383,98,315,205,411,187,382,169,537,22,9,16,17,33,14,22,19,39,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0
2018,404725.94,1448361.7899999998,3555524.7,6959885.21,10581670.02,15204417.000000004,19417691.210000005,25425917.890000008,31344894.040000014,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,99,308,77,205,130,292,121,317,166,384,76,286,193,389,165,372,159,472,74,308,64,205,108,292,100,317,133,384,59,286,161,389,142,372,126,472,20,11,19,21,32,14,29,21,31,5.0,2.0,3.0,0.0,1.0,3.0,3.0,2.0,2.0
2019,404725.94,1626093.2799999998,3555524.7,7263580.14,10920922.02,15204417.000000004,19826795.380000006,25425917.890000008,31877759.580000013,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,93,331,60,173,132,232,115,312,156,438,100,317,213,404,159,334,184,475,77,331,47,173,114,232,90,312,128,438,87,317,178,404,136,334,147,475,15,12,16,23,27,13,31,20,34,1.0,1.0,2.0,2.0,1.0,0.0,4.0,3.0,3.0
2020,467030.27,1817629.0699999998,3800122.93,7569876.109999999,11262773.91,15567000.540000005,20237121.520000007,25865970.540000007,32415937.950000014,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,90,200,70,127,137,184,110,225,161,305,111,210,225,288,187,292,167,376,80,200,58,127,118,184,95,225,137,305,100,210,196,288,161,292,136,376,9,11,19,14,24,11,25,25,26,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0
2021,539104.87,2009536.7399999998,4057559.9400000004,7888548.26,11616767.1,15932893.300000004,20654333.920000006,26323140.600000005,32957422.860000014,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,109,232,65,123,135,187,131,235,183,312,129,236,215,328,188,317,182,380,94,232,49,123,110,187,114,235,154,312,105,236,185,328,164,317,144,380,13,14,24,15,28,21,28,20,35,2.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,3.0
2022,612906.35,2203885.65,4316012.680000001,8219758.26,11971987.0,16311492.630000005,21072457.960000005,26780430.680000007,33499444.840000015,126992.65117234466,104452.05762372901,69130.10654432983,73949.46803130918,59410.73674514636,49315.89312097231,108333.94974387078,75063.08465409561,131653.0372216382,83,273,56,153,83,221,94,273,177,317,92,296,191,347,161,333,157,413,53,273,38,153,64,221,69,273,140,317,70,296,155,347,127,333,130,413,28,18,17,23,35,22,31,30,25,2.0,0.0,2.0,2.0,2.0,0.0,5.0,4.0,2.0
